X,Y,color,group,group_num,coverage,pc1_pcnt,pc2_pcnt
-0.10928238,-0.045080204,blue,inland new york,8,1.5,4.9227557,3.9105103
-0.12783515,-0.04508807,blue,maine,9,1.5,4.9227557,3.9105103
-0.13771474,-0.07838839,blue,inland virginia,6,1.5,4.9227557,3.9105103
0.047163706,0.048472848,gray,chesapeake bay,4,1.5,4.9227557,3.9105103
0.20238328,-0.113637894,pink,barrier island,3,1.5,4.9227557,3.9105103
0.07773551,0.058223438,red,barrier island,2,1.5,4.9227557,3.9105103
-0.019370245,0.037235603,red,coastal mainland,5,1.5,4.9227557,3.9105103
0.27655187,-0.15214285,pink,barrier island,3,1.5,4.9227557,3.9105103
-0.11576937,-0.034072675,blue,inland new york,8,1.5,4.9227557,3.9105103
0.08062165,0.07038436,gray,barrier island,1,1.5,4.9227557,3.9105103
-0.13521242,-0.059032556,blue,inland maryland,7,1.5,4.9227557,3.9105103
-0.030328646,0.04423424,red,coastal mainland,5,1.5,4.9227557,3.9105103
-0.118708424,-0.02330644,blue,maine,9,1.5,4.9227557,3.9105103
0.0969897,0.019630166,gray,barrier island,2,1.5,4.9227557,3.9105103
-0.047793157,0.0010997985,blue,coastal mainland,5,1.5,4.9227557,3.9105103
0.10552533,0.04699752,gray,barrier island,2,1.5,4.9227557,3.9105103
0.25257936,-0.17954493,pink,barrier island,3,1.5,4.9227557,3.9105103
-0.12066406,-0.033364445,blue,inland virginia,6,1.5,4.9227557,3.9105103
-0.048523806,-0.006896231,blue,coastal mainland,5,1.5,4.9227557,3.9105103
-0.112159215,-0.02785874,blue,maine,9,1.5,4.9227557,3.9105103
-0.016485563,-0.0038312306,blue,coastal mainland,5,1.5,4.9227557,3.9105103
-0.01766488,-0.056236837,red,chesapeake bay,4,2.5,4.625356,3.2854
-0.110338524,0.040500008,red,coastal mainland,5,2.5,4.625356,3.2854
-0.05348895,-0.009461553,red,coastal mainland,5,2.5,4.625356,3.2854
-0.11257596,0.068497166,blue,maine,9,2.5,4.625356,3.2854
-0.038673308,-0.06417069,red,coastal mainland,5,2.5,4.625356,3.2854
-0.045554034,-0.031184444,red,coastal mainland,5,2.5,4.625356,3.2854
-0.016082494,-0.08132178,red,coastal mainland,5,2.5,4.625356,3.2854
-0.042401012,-0.040125165,red,coastal mainland,5,2.5,4.625356,3.2854
-0.12508431,0.08987775,blue,maine,9,2.5,4.625356,3.2854
0.022327926,-0.12592632,red,coastal mainland,5,2.5,4.625356,3.2854
-0.12431053,0.081685655,blue,inland virginia,6,2.5,4.625356,3.2854
-0.025985187,-0.0502993,red,coastal mainland,5,2.5,4.625356,3.2854
-0.040590856,-0.03621528,red,coastal mainland,5,2.5,4.625356,3.2854
0.06667016,-0.19729501,pink,barrier island,1,2.5,4.625356,3.2854
-0.117404014,0.06208443,blue,maine,9,2.5,4.625356,3.2854
0.11307123,-0.11840772,pink,barrier island,2,2.5,4.625356,3.2854
-0.12790528,0.12715246,blue,inland virginia,6,2.5,4.625356,3.2854
0.026008135,-0.10549368,red,chesapeake bay,4,2.5,4.625356,3.2854
-0.11157181,0.05807436,blue,inland new york,8,2.5,4.625356,3.2854
-0.02224107,-0.05171638,red,coastal mainland,5,2.5,4.625356,3.2854
0.22165443,0.15826645,orange,barrier island,3,2.5,4.625356,3.2854
-0.1267899,0.07796051,blue,inland maryland,7,2.5,4.625356,3.2854
0.10586586,-0.13983274,pink,barrier island,2,2.5,4.625356,3.2854
-0.12222378,0.074811466,blue,inland maryland,7,2.5,4.625356,3.2854
0.27927148,0.2513477,orange,barrier island,3,2.5,4.625356,3.2854
-0.05548413,0.008322612,red,coastal mainland,5,2.5,4.625356,3.2854
0.041448787,-0.09792371,pink,chesapeake bay,4,2.5,4.625356,3.2854
0.051853657,-0.12299229,pink,barrier island,1,2.5,4.625356,3.2854
-0.12520091,0.070981145,blue,inland new york,8,2.5,4.625356,3.2854
0.25152472,0.19122492,orange,barrier island,3,2.5,4.625356,3.2854
-0.12065941,0.06600145,blue,maine,9,2.5,4.625356,3.2854
0.0859764,-0.13675375,pink,barrier island,2,2.5,4.625356,3.2854
0.083374776,-0.20959225,gray,barrier island,1,2.5,4.625356,3.2854
-0.023414526,-0.056422878,red,coastal mainland,5,2.5,4.625356,3.2854
0.08129525,-0.19513531,pink,barrier island,1,2.5,4.625356,3.2854
0.28886154,0.2696437,orange,barrier island,3,2.5,4.625356,3.2854
-0.115638524,0.059484217,blue,maine,9,2.5,4.625356,3.2854
0.07728173,-0.21285278,gray,barrier island,1,2.5,4.625356,3.2854
-0.036700163,-0.04638035,red,coastal mainland,5,2.5,4.625356,3.2854
-0.02979913,-0.05370797,red,coastal mainland,5,2.5,4.625356,3.2854
-0.12620154,0.07705945,blue,inland maryland,7,2.5,4.625356,3.2854
-0.12735014,0.13127157,blue,inland virginia,6,2.5,4.625356,3.2854
-0.122777194,0.0807833,blue,inland new york,8,2.5,4.625356,3.2854
0.24852765,0.18366739,orange,barrier island,3,2.5,4.625356,3.2854
0.07760331,-0.22088608,pink,barrier island,1,2.5,4.625356,3.2854
0.110547096,-0.18336323,pink,barrier island,2,2.5,4.625356,3.2854
-0.11996103,0.071514845,blue,inland new york,8,2.5,4.625356,3.2854
-0.124844134,0.07689042,blue,maine,9,2.5,4.625356,3.2854
-0.11811836,0.079455115,blue,inland virginia,6,2.5,4.625356,3.2854
0.041157775,-0.10105617,pink,chesapeake bay,4,2.5,4.625356,3.2854
0.22287662,0.15952249,orange,barrier island,3,2.5,4.625356,3.2854
0.09333921,-0.14572302,pink,barrier island,2,2.5,4.625356,3.2854
-0.0064044185,-0.07441693,red,coastal mainland,5,2.5,4.625356,3.2854
0.2757097,0.2232058,orange,barrier island,3,2.5,4.625356,3.2854
-0.12150146,0.07063098,blue,inland new york,8,2.5,4.625356,3.2854
0.07578254,-0.21124804,pink,barrier island,1,2.5,4.625356,3.2854
-0.12649211,0.08117395,blue,inland maryland,7,2.5,4.625356,3.2854
-0.01827705,-0.0657515,red,coastal mainland,5,2.5,4.625356,3.2854
-0.118245564,0.06523498,blue,maine,9,2.5,4.625356,3.2854
0.110866465,-0.1229351,pink,barrier island,2,2.5,4.625356,3.2854
-0.04848248,-0.0006682979,red,coastal mainland,5,2.5,4.625356,3.2854
0.1021083,-0.1673872,pink,barrier island,2,2.5,4.625356,3.2854
