X,Y,color,group,coverage
-0.040245473,-0.02295398,orange,coastal,7.5
-0.16722353,0.05247945,blue,inland,7.5
0.23007804,-0.32593146,gray,barrier,7.5
-0.16075803,0.023041256,blue,maine,7.5
-0.15909013,0.05277026,blue,inland,7.5
0.18480022,-0.16667533,red,barrier,7.5
-0.0019623127,-0.00051421014,orange,coastal,7.5
-0.1579034,0.03184508,blue,inland,7.5
-0.16205809,0.042622767,blue,inland,7.5
-0.006468383,-0.035151117,purple,coastal,7.5
-0.15190466,0.04491109,blue,maine,7.5
0.21153331,-0.1960213,gray,barrier,7.5
0.2027586,-0.24596763,gray,barrier,7.5
-0.15217806,0.051782154,blue,inland,7.5
-0.054517686,0.014255624,orange,coastal,7.5
0.049828656,-0.08499539,red,coastal,7.5
0.008613384,-0.4236187,orange,chesapeake,10
-0.1547657,0.11191049,blue,maine,10
-0.045433402,-0.120126456,red,coastal,10
-0.047078,-0.10609062,purple,coastal,10
-0.1949178,0.22695576,blue,inland,10
-0.18281962,0.13459031,blue,inland,10
0.09651237,-0.2207725,gray,chesapeake,10
0.52575356,0.3742282,pink,barrier,10
0.2181027,-0.27804604,gray,barrier,10
0.1877262,-0.22771385,gray,barrier,10
0.18117191,-0.22434585,gray,barrier,10
0.53000236,0.38294265,pink,barrier,10
-0.15915024,-0.023230428,blue,maine,10
-0.18948127,0.16649768,blue,inland,10
-0.17810346,0.09497828,blue,maine,10
-0.18984313,0.21448964,blue,inland,10
-0.17479393,0.12608247,blue,inland,10
0.015093197,-0.21293147,red,coastal,10
-0.16640364,0.101873465,blue,maine,10
-0.16177389,0.0932761,blue,inland,10
0.06614255,-0.18489067,gray,coastal,10
